word,pos,question_prompt_pre,question_prompt_post,question_type,bin,choice1,choice2,choice3,choice4,choice5
people,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
mind,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sea,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
color,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
track,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
bits,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tracks,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
mess,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
face,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
building,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
neck,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
wave,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
ones,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
picture,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
splash,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
boom,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
jelly,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
stuff,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
sink,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
mat,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
nose,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pencil,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
kitchen,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
turn,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
playing,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
try,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tell,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
heard,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
smoke,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lay,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
lying,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
shake,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
hurry,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pulled,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
skip,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dried,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
puts,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
falls,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
liked,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
cheep,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
walked,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
slipping,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dare,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
tread,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
eat,verb,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
doggie,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
pony,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
dogs,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
penguin,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
camel,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
coffee,noun,The meaning, is... ,hypernymy,2,(1) Very specific/narrow,(2),(3),(4),(5) Very general
